,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
183,183,401114219,2019,3,regular,2019-09-14T19:30:00.000Z,False,True,False,False,62546,3801,LaVell Edwards Stadium,252,BYU,fbs,FBS Independents,30,"[10, 7, 0, 10, 3]",0.4823364402865296,1516.0,1519.0,30,USC,fbs,Pac-12,27,"[7, 10, 0, 10, 0]",0.5176635597134703,1661.0,1658.0,7.5005645751,https://www.youtube.com/watch?v=xBLOHzWuu7M,,3,True
186,186,401112231,2019,3,regular,2019-09-14T19:30:00.000Z,False,True,False,False,41021,3953,Huntington Bank Stadium,135,Minnesota,fbs,Big Ten,35,"[14, 7, 0, 14]",0.8519870934021911,1604.0,1602.0,290,Georgia Southern,fbs,Sun Belt,32,"[10, 10, 0, 12]",0.1480129065978088,1361.0,1363.0,6.3291243076,https://www.youtube.com/watch?v=3XWdJm7BUT0,,3,True
187,187,401112214,2019,3,regular,2019-09-14T20:00:00.000Z,False,True,False,False,73531,3936,Spartan Stadium,127,Michigan State,fbs,Big Ten,7,"[0, 0, 0, 7]",0.7260012139731031,1695.0,1685.0,9,Arizona State,fbs,Pac-12,10,"[0, 3, 0, 7]",0.2739987860268968,1610.0,1620.0,7.2995017468,https://www.youtube.com/watch?v=HaHzdSzs0z8,,-3,True
192,192,401112086,2019,3,regular,2019-09-14T20:00:00.000Z,False,True,False,False,61500,3772,Jack Trice Stadium,66,Iowa State,fbs,Big 12,17,"[7, 0, 7, 3]",0.8414265397958927,1636.0,1644.0,2294,Iowa,fbs,Big Ten,18,"[3, 3, 3, 9]",0.1585734602041073,1842.0,1834.0,7.91811564559999,https://www.youtube.com/watch?v=2_foVaC7224,,-1,True
195,195,401114176,2019,3,regular,2019-09-14T20:15:00.000Z,False,True,False,False,35268,3831,California Memorial Stadium,25,California,fbs,Pac-12,23,"[20, 0, 3, 0]",0.9379246986542122,1533.0,1535.0,249,North Texas,fbs,Conference USA,17,"[0, 3, 7, 7]",0.0620753013457877,1425.0,1423.0,1.7461899291,https://www.youtube.com/watch?v=BQ9A9VLHb0w,,6,True
196,196,401117504,2019,3,regular,2019-09-14T21:00:00.000Z,False,True,False,False,28814,3984,War Memorial Stadium,2751,Wyoming,fbs,Mountain West,21,"[0, 14, 0, 7]",0.6932233406731169,,,70,Idaho,fcs,Big Sky,16,"[3, 7, 3, 3]",0.3067766593268831,,,7.9664494245,https://www.youtube.com/watch?v=zeEsqpP5Xp0,,5,True
201,201,401114260,2019,3,regular,2019-09-14T22:00:00.000Z,False,True,False,False,27108,3975,Veterans Memorial Stadium (AL),2653,Troy,fbs,Sun Belt,42,"[7, 7, 7, 21]",0.27666421958234,1540.0,1524.0,2572,Southern Miss,fbs,Conference USA,47,"[14, 3, 9, 21]",0.7233357804176599,1439.0,1455.0,6.1307440776,https://www.youtube.com/watch?v=xCCtsospw4o,,-5,True
202,202,401114259,2019,3,regular,2019-09-14T22:30:00.000Z,False,True,False,False,27323,3775,Joan C. Edwards Stadium,276,Marshall,fbs,Conference USA,33,"[10, 17, 0, 6]",0.4971128315960409,1511.0,1514.0,195,Ohio,fbs,Mid-American,31,"[3, 14, 7, 7]",0.5028871684039591,1687.0,1684.0,6.05052357939999,https://www.youtube.com/watch?v=97_-9gLTNiU,,2,True
208,208,401117505,2019,3,regular,2019-09-14T23:00:00.000Z,False,True,False,False,14174,3816,Mackay Stadium,2440,Nevada,fbs,Mountain West,19,"[3, 6, 7, 3]",0.9942515355171608,,,2692,Weber State,fcs,Big Sky,13,"[0, 10, 3, 0]",0.0057484644828391,,,7.66234080419999,https://www.youtube.com/watch?v=ekMmSz9F1xc,,6,True
209,209,401110789,2019,3,regular,2019-09-14T23:00:00.000Z,False,True,False,True,63076,3683,Kroger Field,96,Kentucky,fbs,SEC,21,"[0, 14, 7, 0]",0.076358195432244,1668.0,1654.0,57,Florida,fbs,SEC,29,"[7, 0, 3, 19]",0.923641804567756,1688.0,1702.0,6.96874372719999,https://www.youtube.com/watch?v=4Tb99goI4qc,,-8,True
216,216,401112451,2019,3,regular,2019-09-14T23:30:00.000Z,False,True,False,True,57826,3923,Scott Stadium,258,Virginia,fbs,ACC,31,"[3, 7, 0, 21]",0.973151364332378,1636.0,1635.0,52,Florida State,fbs,ACC,24,"[0, 14, 3, 7]",0.0268486356676219,1449.0,1450.0,8.4528321775,https://www.youtube.com/watch?v=X5c4c7Yt5RI,,7,True
227,227,401117869,2019,4,regular,2019-09-20T00:00:00.000Z,False,True,False,True,21032,4729,Yulman Stadium,2655,Tulane,fbs,American Athletic,38,"[7, 7, 7, 17]",0.6050247037670714,1513.0,1520.0,248,Houston,fbs,American Athletic,31,"[14, 14, 0, 3]",0.3949752962329286,1468.0,1461.0,7.6209650186,https://www.youtube.com/watch?v=_lywJJNCucI,,7,True
