,Unnamed: 0,id,season,week,seasonType,startDate,startTimeTBD,completed,neutralSite,conferenceGame,attendance,venueId,venue,homeId,homeTeam,homeClassification,homeConference,homePoints,homeLineScores,homePostgameWinProbability,homePregameElo,homePostgameElo,awayId,awayTeam,awayClassification,awayConference,awayPoints,awayLineScores,awayPostgameWinProbability,awayPregameElo,awayPostgameElo,excitementIndex,highlights,notes,pointsDifference,closeGame
146,146,401632459,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,4246,Center Parc Stadium,2247,Georgia State,fbs,Sun Belt,24.0,"[3, 7, 7, 7]",0.4142441511996169,1369,1369.0,236,Chattanooga,fcs,Southern,21.0,"[7, 0, 7, 7]",0.5857558488003831,,,9.3852508068,,,3.0,True
150,150,401628462,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,3832,"Memorial Stadium (Champaign, IL)",356,Illinois,fbs,Big Ten,23.0,"[3, 10, 0, 10]",0.7973976238859617,1502,1515.0,2305,Kansas,fbs,Big 12,17.0,"[0, 10, 7, 0]",0.2026023761140383,1619.0,1606.0,7.4772522448,,,6.0,True
151,151,401643779,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,3625,Centennial Bank Stadium,2032,Arkansas State,fbs,Sun Belt,28.0,"[7, 0, 21, 0]",0.682684313677518,1406,1404.0,202,Tulsa,fbs,American Athletic,24.0,"[3, 14, 7, 0]",0.3173156863224819,1248.0,1250.0,6.3543485401,,,4.0,True
156,156,401643708,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,3816,Mackay Stadium,2440,Nevada,fbs,Mountain West,17.0,"[14, 0, 3, 0]",0.987778874890766,1271,1273.0,290,Georgia Southern,fbs,Sun Belt,20.0,"[7, 10, 3, 0]",0.0122211251092341,1381.0,1379.0,7.3547409027,,,-3.0,True
159,159,401635639,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,True,,3630,Allegacy Federal Credit Union Stadium,154,Wake Forest,fbs,ACC,30.0,"[10, 10, 10, 0]",0.3231116289522079,1431,1424.0,258,Virginia,fbs,ACC,31.0,"[3, 14, 0, 14]",0.6768883710477921,1310.0,1317.0,6.5433888584,,,-1.0,True
166,166,401628345,2024,2,regular,2024-09-07T23:45:00.000Z,False,True,False,False,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,fbs,SEC,16.0,"[7, 7, 0, 2]",0.0346307700020215,1849,1840.0,248,Houston,fbs,Big 12,12.0,"[3, 3, 6, 0]",0.9653692299979784,1402.0,1411.0,7.4633177224,,,4.0,True
169,169,401632072,2024,2,regular,2024-09-08T01:00:00.000Z,False,True,False,False,,3946,Sun Bowl,2638,UTEP,fbs,Conference USA,24.0,"[14, 3, 0, 7, 0]",0.3696725279050541,1224,1224.0,253,Southern Utah,fcs,UAC,27.0,"[6, 0, 8, 10, 3]",0.6303274720949459,,,8.3814588335,,,-3.0,True
173,173,401628469,2024,2,regular,2024-09-08T02:00:00.000Z,False,True,False,False,,3626,Autzen Stadium,2483,Oregon,fbs,Big Ten,37.0,"[7, 7, 13, 10]",0.9708133111224604,1904,1902.0,68,Boise State,fbs,Mountain West,34.0,"[3, 17, 0, 14]",0.0291866888775396,1629.0,1631.0,9.8770288234,,,3.0,True
174,174,401640989,2024,2,regular,2024-09-08T02:15:00.000Z,False,True,False,True,,3601,Aggie Memorial Stadium,166,New Mexico State,fbs,Conference USA,24.0,"[10, 7, 0, 7]",0.2901370490602066,1432,1431.0,2335,Liberty,fbs,Conference USA,30.0,"[3, 6, 0, 21]",0.7098629509397933,1572.0,1573.0,7.8831258262,,,-6.0,True
175,175,401628343,2024,2,regular,2024-09-08T02:30:00.000Z,False,True,False,False,,3947,Mountain America Stadium,9,Arizona State,fbs,Big 12,30.0,"[10, 17, 3, 0]",0.7141237504569228,1497,1504.0,344,Mississippi State,fbs,SEC,23.0,"[0, 3, 7, 13]",0.2858762495430772,1447.0,1440.0,3.8316762822,,,7.0,True
