Id,Season,HomeTeam,HomePoints,AwayTeam,AwayPoints,PointDiff
401114219,2019,BYU,30,USC,27,3
401112086,2019,Iowa State,17,Iowa,18,1
401112214,2019,Michigan State,7,Arizona State,10,3
401114176,2019,California,23,North Texas,17,6
401117504,2019,Wyoming,21,Idaho,16,5
401114260,2019,Troy,42,Southern Miss,47,5
401114259,2019,Marshall,33,Ohio,31,2
401117505,2019,Nevada,19,Weber State,13,6
401110789,2019,Kentucky,21,Florida,29,8
401112451,2019,Virginia,31,Florida State,24,7
401117869,2019,Tulane,38,Houston,31,7
401114220,2019,USC,30,Utah,23,7
401110801,2019,Ole Miss,20,California,28,8
401119267,2019,Eastern Michigan,34,Central Connecticut,29,5
401117509,2019,Tulsa,24,Wyoming,21,3
401112131,2019,TCU,38,SMU,41,3
401112461,2019,Pittsburgh,35,UCF,34,1
401112459,2019,North Carolina,31,App State,34,3
401110804,2019,Texas A&M,20,Auburn,28,8
401112458,2019,Miami,17,Central Michigan,12,5
401112099,2019,Kansas,24,West Virginia,29,5
401114340,2019,New Mexico,55,New Mexico State,52,3
401121942,2019,Texas State,37,Georgia State,34,3
401112075,2019,Rice,13,Baylor,21,8
401110798,2019,Arkansas,24,San José State,31,7
401112125,2019,Texas,36,Oklahoma State,30,6
401112148,2019,Illinois,38,Nebraska,42,4
401110800,2019,Georgia,23,Notre Dame,17,6
401114155,2019,Arizona State,31,Colorado,34,3
401117507,2019,Colorado State,35,Toledo,41,6
401117508,2019,San Diego State,17,Utah State,23,6
401114215,2019,Washington State,63,UCLA,67,4
401114156,2019,California,17,Arizona State,24,7
401110807,2019,Arkansas,27,Texas A&M,31,4
401110811,2019,Vanderbilt,24,Northern Illinois,18,6
401117213,2019,Toledo,28,BYU,21,7
401112470,2019,Pittsburgh,17,Delaware,14,3
401112466,2019,Boston College,24,Wake Forest,27,3
401112076,2019,Baylor,23,Iowa State,21,2
401112232,2019,Purdue,31,Minnesota,38,7
401112467,2019,North Carolina,20,Clemson,21,1
401114356,2019,Massachusetts,37,Akron,29,8
401121944,2019,Troy,43,Arkansas State,50,7
401114350,2019,Liberty,17,New Mexico,10,7
401114271,2019,Old Dominion,21,East Carolina,24,3
401114273,2019,Western Kentucky,20,UAB,13,7
401114268,2019,Rice,20,Louisiana Tech,23,3
401114202,2019,Oregon State,28,Stanford,31,3
401114166,2019,Arizona,20,UCLA,17,3
401121948,2019,South Alabama,17,Georgia Southern,20,3
401117875,2019,Cincinnati,27,UCF,24,3
401112194,2019,Michigan,10,Iowa,3,7
401112473,2019,Louisville,41,Boston College,39,2
401119275,2019,Toledo,31,Western Michigan,24,7
401119274,2019,Buffalo,20,Ohio,21,1
401119272,2019,Northern Illinois,20,Ball State,27,7
401112476,2019,Miami,35,Virginia Tech,42,7
401112242,2019,Nebraska,13,Northwestern,10,3
401114167,2019,Colorado,30,Arizona,35,5
401117878,2019,SMU,43,Tulsa,37,6
401112474,2019,Duke,30,Pittsburgh,33,3
401114342,2019,New Mexico State,13,Liberty,20,7
401112477,2019,NC State,16,Syracuse,10,6
401112478,2019,Miami,17,Virginia,9,8
401117881,2019,Temple,30,Memphis,28,2
401110817,2019,Georgia,17,South Carolina,20,3
401112118,2019,Texas,27,Oklahoma,34,7
401119276,2019,Eastern Michigan,23,Ball State,29,6
401117214,2019,South Florida,27,BYU,23,4
401114157,2019,Arizona State,38,Washington State,34,4
401119279,2019,Ohio,36,Northern Illinois,39,3
401117524,2019,Nevada,41,San José State,38,3
401112078,2019,Baylor,33,Texas Tech,30,3
401112481,2019,Wake Forest,59,Louisville,62,3
401110818,2019,Kentucky,24,Arkansas,20,4
401114222,2019,Notre Dame,30,USC,27,3
401112195,2019,Iowa,12,Penn State,17,5
401117523,2019,San Diego State,26,Wyoming,22,4
401114288,2019,Florida Atlantic,31,Marshall,36,5
401112483,2019,Syracuse,20,Pittsburgh,27,7
401119283,2019,Ohio,45,Kent State,38,7
401117886,2019,UConn,17,Houston,24,7
401112151,2019,Illinois,24,Wisconsin,23,1
401112488,2019,Miami,21,Georgia Tech,28,7
401112196,2019,Iowa,26,Purdue,20,6
401112109,2019,Kansas State,24,TCU,17,7
401114178,2019,California,17,Oregon State,21,4
401119284,2019,Miami (OH),27,Northern Illinois,24,3
401121956,2019,Georgia Southern,30,Coastal Carolina,27,3
401112489,2019,Virginia Tech,43,North Carolina,41,2
401112163,2019,Maryland,28,Indiana,34,6
401114196,2019,Washington,31,Oregon,35,4
401110830,2019,Vanderbilt,21,Missouri,14,7
401114290,2019,North Texas,33,Middle Tennessee,30,3
401114292,2019,UTSA,31,Rice,27,4
401114329,2019,Georgia State,28,Army,21,7
401119286,2019,Eastern Michigan,34,Western Michigan,27,7
401112102,2019,Texas,50,Kansas,48,2
401112226,2019,Penn State,28,Michigan,21,7
401112487,2019,Wake Forest,22,Florida State,20,2
401110827,2019,Ole Miss,17,Texas A&M,24,7
401117215,2019,BYU,28,Boise State,25,3
401117889,2019,Houston,31,SMU,34,3
401114188,2019,Colorado,31,USC,35,4
401112110,2019,Kansas State,48,Oklahoma,41,7
401114330,2019,Army,29,San José State,34,5
401112494,2019,Pittsburgh,12,Miami,16,4
401114297,2019,Marshall,26,Western Kentucky,23,3
401112493,2019,Louisville,28,Virginia,21,7
401112091,2019,Iowa State,27,Oklahoma State,34,7
401114293,2019,Charlotte,39,North Texas,38,1
401112164,2019,Nebraska,31,Indiana,38,7
401119290,2019,Toledo,37,Eastern Michigan,34,3
401119291,2019,Kent State,16,Miami (OH),23,7
401110833,2019,LSU,23,Auburn,20,3
401117890,2019,Navy,41,Tulane,38,3
401112491,2019,North Carolina,20,Duke,17,3
401117893,2019,Tulsa,41,Memphis,42,1
401112103,2019,Kansas,37,Texas Tech,34,3
401117534,2019,UNLV,17,San Diego State,20,3
401114197,2019,Oregon,37,Washington State,35,2
401121960,2019,App State,21,Georgia Southern,24,3
401112080,2019,Baylor,17,West Virginia,14,3
401112243,2019,Purdue,31,Nebraska,27,4
401114300,2019,Florida International,24,Old Dominion,17,7
401112501,2019,Notre Dame,21,Virginia Tech,20,1
401121962,2019,Coastal Carolina,36,Troy,35,1
401114331,2019,Air Force,17,Army,13,4
401110838,2019,Florida,17,Georgia,24,7
401112127,2019,Oklahoma State,34,TCU,27,7
401121961,2019,UL Monroe,41,Arkansas State,48,7
401114227,2019,Washington,28,Utah,33,5
401110837,2019,Auburn,20,Ole Miss,14,6
401117896,2019,East Carolina,43,Cincinnati,46,3
401117897,2019,Memphis,54,SMU,48,6
401112499,2019,North Carolina,31,Virginia,38,7
401117537,2019,Hawai'i,38,Fresno State,41,3
401119297,2019,Toledo,35,Kent State,33,2
401119296,2019,Western Michigan,35,Ball State,31,4
401119298,2019,Ohio,21,Miami (OH),24,3
401117900,2019,Tulsa,34,UCF,31,3
401112502,2019,Boston College,31,Florida State,38,7
